transaction_id,store_id,product_id,timestamp,sales_value,cogs,inventory_level,quantity_sold,received_units,items_in_basket,shrinkage,visitor_count,department,store_location,brand,stock_status,loyalty_id,payment_type,weather_context,is_weekend
TXN-20001,STORE-7,P-290,1743721852816,31.40,20.59,235,1,5,9,0.00,42,Meat,New York,Private Label,In Stock,,Cash,Cloudy,FALSE
TXN-20002,STORE-8,P-367,2024-08-25,146.06,85.86,951,10,14,15,0.00,12,Grocery,Paris,Premium Brand,In Stock,,Card,Cloudy,TRUE
TXN-20003,STORE-9,P-373,2024-04-18,6.92,4.42,843,6,9,5,0.00,24,Grocery,Tokyo,Private Label,In Stock,L-21003,Cash,Snowy,FALSE
TXN-20004,STORE-10,P-322,2024-04-27,58.30,37.55,596,7,10,4,0.00,17,Meat,Tokyo,Private Label,Out of Stock,,Cash,Rainy,FALSE
TXN-20005,STORE-11,P-129,2025-11-26,88.21,49.03,743,,12,15,0.00,23,Dairy,London,Private Label,In Stock,,Mobile Pay,Rainy,TRUE
TXN-20006,STORE-12,P-475,2024-10-03,73.72,49.46,804,8,11,6,0.00,26,Produce,Paris,Private Label,Out of Stock,,Card,Sunny,FALSE
TXN-20007,STORE-13,P-429,2025-02-26,122.05,84.02,25,6,10,13,0.00,43,Grocery,Paris,National Brand,In Stock,,Cash,Snowy,TRUE
TXN-20008,STORE-14,P-189,2025-07-07,45.38,23.02,904,2,5,1,0.00,12,Produce,Paris,Premium Brand,Out of Stock,L-21008,Card,Sunny,FALSE
TXN-20009,STORE-15,P-77,1759594744579,68.14,39.75,605,9,12,9,0.00,13,Bakery,New York,National Brand,Low Stock,,Cash,Rainy,TRUE
TXN-20010,STORE-1,P-465,2024-03-16,  129.94  ,86.88,485,10,13,7,0.00,23,Bakery,Paris,National Brand,Low Stock,L-21010,Card,Snowy,TRUE
TXN-20011,STORE-2,P-370,6/22/2025,17.19,10.38,79,9,12,9,0.00,28,Dairy,London,Premium Brand,In Stock,L-21011,Cash,Snowy,FALSE
TXN-20012,STORE-3,P-228,1744234536785,96.57,63.99,306,7,8,4,0.00,11,Grocery,New York,Private Label,Low Stock,,Card,Snowy,FALSE
TXN-20013,STORE-4,P-394,2025-07-28,144.47,81.20,92,8,12,5,0.00,54,Meat,Tokyo,National Brand,In Stock,,Card,Rainy,FALSE
TXN-20014,STORE-5,P-191,1715195164470,138.16,82.03,79,8,12,1,0.00,30,Dairy,London,National Brand,Out of Stock,L-21014,Card,Rainy,FALSE
TXN-20015,STORE-6,P-343,2025-11-19,105.10,58.19,380,8,10,11,0.00,55,Deli,Tokyo,Private Label,Low Stock,,Card,Sunny,FALSE
TXN-20016,STORE-7,P-496,2025-06-15,130.11,79.24,515,8,11,2,0.00,15,Grocery,London,Premium Brand,In Stock,L-21016,Card,Cloudy,FALSE
TXN-20017,STORE-8,P-403,9/30/2025,76.47,52.81,962,7,11,1,0.00,44,Meat,New York,National Brand,In Stock,,Mobile Pay,Rainy,FALSE
TXN-20018,STORE-9,P-31,2025-05-31,5.25,3.37,299,5,7,9,0.00,25,Grocery,Berlin,Premium Brand,Low Stock,L-21018,Card,Cloudy,FALSE
TXN-20019,STORE-10,P-356,1/25/2026,90.39,62.62,256,10,10,14,0.00,42,Meat,Berlin,Private Label,Low Stock,L-21019,Cash,Cloudy,FALSE
TXN-20020,STORE-11,P-88,2026-02-25,143.96,94.35,478,4,4,10,0.00,54,Meat,Paris,Premium Brand,Out of Stock,L-21020,Mobile Pay,Rainy,FALSE
TXN-20021,STORE-12,P-336,2024-05-15,63.59,37.82,995,6,10,4,0.00,30,Produce,Tokyo,Premium Brand,Low Stock,L-21021,Card,Snowy,TRUE
TXN-20022,STORE-13,P-236,2024-05-14,4.72,2.37,153,5,9,8,0.00,30,Bakery,Paris,National Brand,In Stock,L-21022,Cash,Sunny,FALSE
TXN-20023,STORE-14,P-93,2025-05-20,111.91,66.38,704,5,9,4,0.00,21,Bakery,New York,Private Label,In Stock,L-21023,Cash,Sunny,FALSE
TXN-20024,STORE-15,P-322,1733054913102,16.68,9.36,239,8,10,2,5.02,58,Produce,Tokyo,Premium Brand,Out of Stock,,Card,Cloudy,TRUE
TXN-20025,STORE-1,P-92,2025-10-18,69.87,42.94,232,6,7,9,0.00,56,Meat,Berlin,Premium Brand,Out of Stock,,Mobile Pay,Sunny,FALSE
TXN-20026,STORE-2,P-371,2025-05-08,118.67,82.57,500,7,9,10,0.00,57,Produce,London,Premium Brand,Low Stock,,Card,Sunny,TRUE
TXN-20027,STORE-3,P-91,2024-11-10,138.59,95.72,526,1,5,15,0.00,28,,Berlin,Premium Brand,Low Stock,,Card,Cloudy,FALSE
TXN-20028,STORE-4,P-119,2025-04-20,23.27,14.46,208,1,5,8,0.00,43,Dairy,London,Private Label,In Stock,,Card,Snowy,FALSE
TXN-20029,STORE-5,P-219,2025-05-11,114.48,62.24,27,6,10,2,0.00,26,Bakery,New York,National Brand,In Stock,,Cash,Snowy,FALSE
TXN-20030,STORE-6,P-68,2024-11-19,80.06,50.29,111,9,10,6,5.44,44,  produce  ,Tokyo,Private Label,Out of Stock,,Mobile Pay,Sunny,FALSE
TXN-20031,STORE-7,P-407,11/12/2025,80.03,42.26,520,6,8,8,3.92,23,Dairy,New York,National Brand,In Stock,L-21031,Cash,Rainy,FALSE
TXN-20032,STORE-8,P-336,2024-07-05,4.36,2.93,819,7,8,9,0.00,46,Deli,Tokyo,Premium Brand,In Stock,,Mobile Pay,Sunny,FALSE
TXN-20033,STORE-9,P-231,2025-08-20,59.73,38.55,548,7,11,1,0.00,38,Grocery,Paris,National Brand,Low Stock,,Card,Rainy,TRUE
