order_id,customer_id,session_id,cart_id,order_date,revenue,cogs,marketing_cost,category,quantity,status,channel,region,product_id,sku,unit_price,shipping_cost,tax,customer_type,payment_method
ORD-10001,CUST-4001,SESS-15001,CART-12001,2023-04-22,492.24,212.75,16.88,Fashion,2,Pending,Social Media,West,P-32,SKU-3453,246.12,16.99,39.38,New,PayPal
ORD-10002,CUST-4001,SESS-15002,CART-12002,2023-08-17,333.51,146.78,0.89,Sports,3,Pending,Affiliate,East,P-144,SKU-4160,111.17,10.67,26.68,VIP,PayPal
ORD-10003,CUST-4002,SESS-15003,CART-12003,2024-10-20,283.62,141.35,37.37,Home,4,Completed,Mobile App,North,P-651,SKU-2576,70.90,18.09,22.69,VIP,Credit Card
ORD-10004,CUST-4002,SESS-15004,CART-12004,2025-09-14,112.31,60.70,6.52,Sports,1,Returned,Social Media,South,P-628,SKU-2112,112.31,2.07,8.98,VIP,Debit Card
ORD-10005,CUST-4003,SESS-15005,CART-12005,2024-09-02,,77.01,23.61,Electronics,3,Cancelled,Social Media,West,P-571,SKU-1802,76.42,12.90,18.34,VIP,Debit Card
ORD-10006,CUST-4003,SESS-15006,CART-12006,10/8/2024,27.44,15.69,47.55,Sports,3,Cancelled,Mobile App,South,P-25,SKU-3462,9.15,5.55,2.19,Returning,PayPal
ORD-10007,CUST-4003,SESS-15007,CART-12007,2025-04-04,69.18,25.73,42.50,Fashion,5,Completed,Affiliate,South,P-199,SKU-2303,13.84,17.67,5.53,Returning,Debit Card
ORD-10008,CUST-4004,SESS-15008,CART-12008,1694916811938,  76.49  ,27.67,31.84,Electronics,2,Cancelled,Web,West,P-765,SKU-154,38.25,8.36,6.12,Returning,Crypto
ORD-10009,CUST-4004,SESS-15009,CART-12009,2025-10-17,249.42,85.95,17.45,Beauty,4,Pending,Mobile App,South,P-38,SKU-936,62.35,0.50,19.95,New,PayPal
ORD-10010,CUST-4005,SESS-15010,CART-12010,2024-11-14,59.50,23.63,15.42,Beauty,4,Cancelled,Web,South,P-568,SKU-2984,14.87,14.92,4.76,VIP,Crypto
ORD-10011,CUST-4005,SESS-15011,CART-12011,2023-04-10,393.32,218.22,15.17,Home,4,Shipped,Web,International,P-916,SKU-3922,98.33,14.37,31.47,New,Credit Card
ORD-10012,CUST-4005,SESS-15012,CART-12012,2025-11-04,90.60,50.47,7.79,Electronics,1,Returned,Mobile App,East,P-803,SKU-1597,90.60,15.50,7.25,VIP,Debit Card
ORD-10013,CUST-4006,SESS-15013,CART-12013,2024-11-27,67.17,37.69,34.11,Fashion,5,Shipped,Social Media,South,P-424,SKU-4383,13.43,7.28,5.37,New,Crypto
ORD-10014,CUST-4006,SESS-15014,CART-12014,2026-01-02,85.41,43.54,23.48,Electronics,5,Completed,Web,East,P-619,SKU-914,17.08,15.73,6.83,Returning,Credit Card
ORD-10015,CUST-4007,SESS-15015,CART-12015,2024-11-27,509.62,196.61,13.95,Sports,4,Completed,Web,South,P-472,SKU-4695,127.41,19.79,40.77,New,PayPal
ORD-10016,CUST-4007,SESS-15016,CART-12016,2026-02-23,  23.44  ,12.09,6.83,Fashion,5,Cancelled,Mobile App,South,P-552,SKU-4732,4.69,17.63,1.88,Returning,Debit Card
