order_id,customer_id,session_id,cart_id,order_date,revenue,cogs,marketing_cost,category,quantity,status,channel,region,product_id,sku,unit_price,shipping_cost,tax,customer_type,payment_method
ORD-30001,CUST-12001,SESS-35001,CART-32001,2025-10-07,164.33,92.06,1.21,Sports,3,Completed,Social Media,South,P-573,SKU-2410,54.78,6.84,13.15,VIP,Debit Card
ORD-30002,CUST-12001,SESS-35002,CART-32002,2024-09-07,232.72,90.60,17.64,Beauty,1,Pending,Affiliate,West,P-938,SKU-1943,232.72,0.32,18.62,VIP,Debit Card
ORD-30003,CUST-12002,SESS-35003,CART-32003,2025-12-01,492.08,246.46,32.27,Sports,2,Cancelled,Web,West,P-889,SKU-3068,246.04,10.52,39.37,VIP,PayPal
ORD-30004,CUST-12002,SESS-35004,CART-32004,2026-02-12,439.19,171.57,38.88,Sports,3,Shipped,Affiliate,International,P-279,SKU-4276,146.40,2.83,35.13,Returning,Crypto
ORD-30005,CUST-12003,SESS-35005,CART-32005,2024-11-17,396.31,158.16,31.96,Fashion,1,Pending,Affiliate,South,P-124,SKU-1609,396.31,12.19,31.71,VIP,Credit Card
ORD-30006,CUST-12003,SESS-35006,CART-32006,2023-10-27,82.37,36.53,42.41,Home,4,Completed,Affiliate,North,P-599,SKU-1238,20.59,2.16,6.59,New,Crypto
ORD-30007,CUST-12003,SESS-35007,CART-32007,2023-01-27,31.11,14.89,10.47,Beauty,2,Completed,Social Media,West,P-458,SKU-2057,15.55,15.33,2.49,VIP,Debit Card
ORD-30008,CUST-12004,SESS-35008,CART-32008,1685949784903,269.46,82.93,17.18,Electronics,2,Completed,Mobile App,South,P-818,SKU-3452,134.73,12.31,21.56,VIP,PayPal
ORD-30009,CUST-12004,SESS-35009,CART-32009,2023-11-18,502.88,196.91,34.09,  electronics  ,3,Shipped,Web,South,P-180,SKU-2814,167.63,13.13,40.23,Returning,PayPal
ORD-30010,CUST-12005,SESS-35010,CART-32010,2025-04-30,393.90,131.54,6.78,Electronics,2,Completed,Web,International,P-906,SKU-3897,196.95,13.69,31.51,VIP,Crypto
ORD-30011,CUST-12005,SESS-35011,CART-32011,2023-01-24,379.89,175.64,35.97,Sports,1,Shipped,Affiliate,West,P-864,SKU-4924,379.89,19.96,30.39,VIP,Debit Card
ORD-30012,CUST-12005,SESS-35012,CART-32012,2023-01-22,NULL,195.88,19.74,Beauty,3,Pending,Social Media,South,P-355,SKU-3570,110.52,1.31,26.53,New,Credit Card
ORD-30013,CUST-12006,SESS-35013,CART-32013,2024-07-27,195.43,62.72,39.94,Home,5,Cancelled,Mobile App,International,P-422,SKU-1958,39.09,3.52,15.63,Returning,PayPal
ORD-30014,CUST-12006,SESS-35014,CART-32014,2024-10-27,469.77,249.00,8.81,Electronics,5,Returned,Web,East,P-775,SKU-3521,93.95,9.31,37.58,New,Credit Card
