transaction_id,store_id,product_id,timestamp,sales_value,cogs,inventory_level,quantity_sold,received_units,items_in_basket,shrinkage,visitor_count,department,store_location,brand,stock_status,loyalty_id,payment_type,weather_context,is_weekend
TXN-30001,STORE-2,P-472,2024-02-04,37.95,24.05,39,10,13,7,0.00,11,Grocery,Tokyo,Private Label,In Stock,,Cash,Sunny,FALSE
TXN-30002,STORE-3,P-421,1722198294130,93.45,62.57,258,3,4,1,0.00,23,Dairy,New York,Private Label,Out of Stock,,Cash,Cloudy,TRUE
TXN-30003,STORE-4,P-63,2024-03-04,34.61,20.83,314,5,5,14,0.00,38,Deli,Paris,Premium Brand,Out of Stock,,Card,Snowy,TRUE
TXN-30004,STORE-5,P-88,2024-04-10,19.40,11.90,303,8,10,2,0.00,44,Deli,London,Private Label,Out of Stock,,Mobile Pay,Snowy,TRUE
TXN-30005,STORE-6,P-477,2025-01-26,67.92,34.53,649,3,7,10,0.00,39,Bakery,Tokyo,Private Label,Low Stock,L-31005,Mobile Pay,Sunny,FALSE
TXN-30006,STORE-7,P-55,2025-06-17,115.84,66.62,215,3,7,11,0.65,29,NULL,Berlin,National Brand,Out of Stock,,Mobile Pay,Cloudy,TRUE
TXN-30007,STORE-8,P-197,2024-08-05,148.11,79.99,835,5,8,9,0.00,39,Dairy,Tokyo,National Brand,Low Stock,,Mobile Pay,Snowy,TRUE
TXN-30008,STORE-9,P-480,2024-04-03,63.66,33.41,64,3,5,9,0.00,55,  grocery  ,New York,Premium Brand,Low Stock,,Cash,Cloudy,FALSE
TXN-30009,STORE-10,P-174,2024-01-18,68.77,46.19,803,4,7,15,0.00,52,Dairy,Berlin,National Brand,Out of Stock,L-31009,Card,Rainy,TRUE
TXN-30010,STORE-11,P-434,2024-06-15,53.34,35.09,772,2,6,3,0.00,31,Grocery,Berlin,Premium Brand,In Stock,,Mobile Pay,Rainy,FALSE
TXN-30011,STORE-12,P-14,2024-12-08,124.89,76.53,880,3,3,2,0.00,24,Grocery,London,Premium Brand,In Stock,,Cash,Snowy,FALSE
TXN-30012,STORE-13,P-15,1757247558148,119.98,69.01,13,7,8,15,0.00,24,Dairy,Berlin,Premium Brand,Low Stock,,Cash,Rainy,FALSE
TXN-30013,STORE-14,P-323,2025-06-25,140.89,79.85,936,10,12,2,0.00,18,Deli,Tokyo,Premium Brand,In Stock,,Cash,Snowy,FALSE
TXN-30014,STORE-15,P-206,2025-09-23,120.77,70.73,118,6,9,3,0.00,26,Dairy,Berlin,Premium Brand,In Stock,,Mobile Pay,Cloudy,FALSE
TXN-30015,STORE-1,P-32,2025-03-16,43.01,22.79,944,6,8,9,6.74,41,Meat,London,Private Label,In Stock,L-31015,Cash,Sunny,FALSE
TXN-30016,STORE-2,P-281,2025-10-14,2.31,1.19,824,9,13,10,0.00,53,Grocery,New York,Private Label,In Stock,,Mobile Pay,Cloudy,FALSE
TXN-30017,STORE-3,P-92,1/31/2024,6.37,3.44,876,9,12,7,0.00,15,Bakery,London,Private Label,Out of Stock,L-31017,Cash,Snowy,TRUE
TXN-30018,STORE-4,P-360,2024-06-17,145.60,101.85,67,6,7,6,0.00,17,Dairy,London,Private Label,Out of Stock,,Mobile Pay,Sunny,FALSE
TXN-30019,STORE-5,P-282,2026-02-22,141.16,78.07,958,9,12,3,0.00,50,Grocery,Berlin,Premium Brand,Low Stock,L-31019,Cash,Snowy,FALSE
TXN-30020,STORE-6,P-345,2025-06-09,135.13,68.60,960,8,9,1,0.00,51,Grocery,New York,Premium Brand,Low Stock,L-31020,Card,Sunny,TRUE
TXN-30021,STORE-7,P-231,2024-02-16,14.59,8.26,931,4,8,9,0.00,36,Grocery,Paris,Private Label,In Stock,,Card,Sunny,FALSE
TXN-30022,STORE-8,P-67,5/4/2025,110.39,66.73,451,2,5,8,0.00,26,Deli,London,National Brand,Low Stock,,Mobile Pay,Rainy,TRUE
TXN-30023,STORE-9,P-292,2025-04-07,61.17,37.26,377,5,6,2,0.00,32,Meat,Paris,Private Label,In Stock,,Card,Snowy,TRUE
TXN-30024,STORE-10,P-336,2025-06-10,11.13,6.49,626,3,3,9,0.00,34,  dairy  ,Tokyo,National Brand,Out of Stock,,Cash,Snowy,FALSE
TXN-30025,STORE-11,P-122,2024-11-25,78.34,45.89,269,10,11,8,8.12,19,Produce,Tokyo,National Brand,Low Stock,,Card,Sunny,FALSE
TXN-30026,STORE-12,P-446,2024-02-24,120.25,69.37,104,7,9,14,0.00,46,Meat,London,Private Label,Out of Stock,,Cash,Cloudy,FALSE
TXN-30027,STORE-13,P-17,2025-06-21,92.83,49.86,18,8,9,13,0.00,53,Meat,Paris,National Brand,Low Stock,L-31027,Card,Rainy,FALSE
TXN-30028,STORE-14,P-158,2024-08-20,82.96,56.84,980,10,10,9,0.00,20,Bakery,Berlin,National Brand,Low Stock,L-31028,Mobile Pay,Sunny,FALSE
TXN-30029,STORE-15,P-420,2025-07-16,86.19,44.28,13,9,9,8,0.00,54,Meat,Tokyo,Private Label,Out of Stock,,Cash,Sunny,FALSE
TXN-30030,STORE-1,P-391,2024-01-17,18.94,12.07,817,3,5,15,0.00,56,Meat,Tokyo,Private Label,Out of Stock,,Card,Rainy,FALSE
TXN-30031,STORE-2,P-192,1755360454384,99.33,53.25,194,5,5,5,0.00,29,Bakery,Tokyo,National Brand,Low Stock,L-31031,Cash,Snowy,FALSE
TXN-30032,STORE-3,P-105,2024-02-22,63.92,42.53,133,6,8,12,0.00,40,Deli,Paris,National Brand,Out of Stock,L-31032,Cash,Cloudy,FALSE
TXN-30033,STORE-4,P-477,2025-05-09,111.55,77.43,134,10,14,1,0.00,24,Meat,London,Premium Brand,Low Stock,L-31033,Mobile Pay,Cloudy,TRUE
TXN-30034,STORE-5,P-350,2024-10-17,102.40,55.98,900,9,11,13,0.00,52,Dairy,Tokyo,National Brand,Out of Stock,,Cash,Sunny,TRUE
TXN-30035,STORE-6,P-253,2025-06-25,105.45,54.58,801,1,1,12,0.00,57,Bakery,Paris,Premium Brand,Low Stock,L-31035,Card,Rainy,FALSE
TXN-30036,STORE-7,P-412,1722944028286,39.05,19.73,278,8,11,13,0.00,11,Produce,Paris,National Brand,In Stock,L-31036,Mobile Pay,Snowy,TRUE
TXN-30037,STORE-8,P-75,1/2/2025,106.75,73.32,413,10,12,2,0.00,26,Bakery,Tokyo,National Brand,Out of Stock,,Mobile Pay,Snowy,FALSE
TXN-30038,STORE-9,P-217,2024-04-11,48.71,32.00,621,2,4,8,0.00,22,Grocery,New York,Premium Brand,In Stock,,Mobile Pay,Snowy,FALSE
TXN-30039,STORE-10,P-388,2026-02-05,80.11,48.41,43,7,9,7,0.00,58,Bakery,New York,Private Label,Low Stock,L-31039,Cash,Cloudy,FALSE
TXN-30040,STORE-11,P-282,2025-12-12,8.87,5.44,744,9,10,15,0.00,18,Deli,New York,National Brand,In Stock,L-31040,Cash,Rainy,TRUE
TXN-30041,STORE-12,P-260,2025-08-29,66.34,40.20,509,7,11,11,0.00,22,Grocery,Paris,Premium Brand,In Stock,,Card,Sunny,FALSE
TXN-30042,STORE-13,P-402,2026-02-20,107.45,71.05,161,2,2,5,0.00,11,Meat,Tokyo,National Brand,Out of Stock,,Mobile Pay,Rainy,FALSE
TXN-30043,STORE-14,P-472,2024-04-09,29.29,20.09,948,10,13,8,0.00,23,Deli,Tokyo,Private Label,Out of Stock,,Cash,Rainy,FALSE
TXN-30044,STORE-15,P-350,2025-09-18,16.06,10.19,209,10,10,2,0.00,15,Bakery,London,Premium Brand,In Stock,L-31044,Card,Rainy,FALSE
TXN-30045,STORE-1,P-106,2025-06-08,82.96,43.46,917,3,5,9,0.00,55,Dairy,New York,Private Label,Low Stock,L-31045,Mobile Pay,Sunny,TRUE
TXN-30046,STORE-2,P-466,2025-08-02,  119.77  ,69.40,551,9,10,1,0.00,36,Produce,Paris,Private Label,Out of Stock,,Cash,Sunny,TRUE
TXN-30047,STORE-3,P-378,2025-12-19,44.68,28.43,302,9,13,10,0.00,27,Bakery,London,Private Label,In Stock,,Mobile Pay,Sunny,TRUE
TXN-30048,STORE-4,P-442,2024-04-05,95.27,56.55,444,2,4,14,0.00,11,Dairy,London,Private Label,Out of Stock,L-31048,Card,Cloudy,FALSE
TXN-30049,STORE-5,P-70,2025-05-29,128.86,85.73,886,1,4,1,0.00,31,Deli,New York,National Brand,In Stock,,Mobile Pay,Sunny,FALSE
TXN-30050,STORE-6,P-114,2024-08-06,139.56,81.55,707,2,2,9,0.00,21,Deli,Tokyo,Private Label,In Stock,L-31050,Mobile Pay,Cloudy,TRUE
TXN-30051,STORE-7,P-207,2024-07-19,129.31,64.75,148,10,10,5,0.00,39,Bakery,London,Private Label,Out of Stock,,Cash,Sunny,FALSE
TXN-30052,STORE-8,P-407,2024-10-05,80.27,46.45,980,9,12,11,9.56,25,Bakery,Paris,National Brand,Low Stock,,Mobile Pay,Rainy,FALSE
TXN-30053,STORE-9,P-499,2025-12-01,9.16,5.21,429,1,1,8,0.00,50,Bakery,Berlin,National Brand,Out of Stock,,Mobile Pay,Cloudy,FALSE
