order_id,customer_id,order_date,revenue,quantity,category,status
ORD-111,C-511,2024-01-11,120.00,2,Electronics,completed
ORD-112,,2024-01-12,90.00,1,Fashion,SHIPPED
ORD-113,C-513,2024-01-13,500.00,5,Home,Pending
ORD-111,C-511,2024-01-11,120.00,2,Electronics,completed
ORD-114,C-514,2024-01-14,25.00,1,Fashion,Returned
ORD-115,C-515,2024-01-15,300.00,2,Home,completed
ORD-116,C-516,2024-01-16,40.00,1,Electronics,pending
ORD-117,C-517,2024-01-17,600.00,6,Home,Shipped
ORD-118,C-518,2024-01-18,15.00,1,Fashion,Cancelled
ORD-119,C-519,2024-01-19,220.00,2,Electronics,Completed
